date,district,ndvi_mean
2024_04_09,Agra,0.665
2024_04_14,Agra,0.6
2024_04_19,Agra,0.531
2024_04_24,Agra,0.373
2024_04_29,Agra,0.412
2024_05_04,Agra,0.451
2024_05_09,Agra,0.342
2024_05_14,Agra,0.324
2024_05_19,Agra,0.306
2024_05_24,Agra,0.396
2024_05_29,Agra,0.442
2024_06_03,Agra,0.542
2024_06_08,Agra,0.594
2024_06_13,Agra,0.646
2024_06_18,Agra,0.635
2024_06_23,Agra,0.696
2024_06_28,Agra,0.712
2024_07_03,Agra,0.698
2024_07_08,Agra,0.62
2024_07_13,Agra,0.609
2024_07_18,Agra,0.53
2024_07_23,Agra,0.472
2024_07_28,Agra,0.42
2024_08_02,Agra,0.345
2024_08_07,Agra,0.363
2024_08_12,Agra,0.366
2024_08_17,Agra,0.373
2024_08_22,Agra,0.485
2024_08_27,Agra,0.441
2024_09_01,Agra,0.527
2024_09_06,Agra,0.586
2024_09_11,Agra,0.605
2024_09_16,Agra,0.672
2024_09_21,Agra,0.654
2024_09_26,Agra,0.683
2024_10_01,Agra,0.6
2024_10_06,Agra,0.668
2024_10_11,Agra,0.589
2024_10_16,Agra,0.548
2024_10_21,Agra,0.522
2024_10_26,Agra,0.377
2024_10_31,Agra,0.358
2024_11_05,Agra,0.313
2024_11_10,Agra,0.429
2024_11_15,Agra,0.379
2024_11_20,Agra,0.35
2024_11_25,Agra,0.476
2024_11_30,Agra,0.502
2024_12_05,Agra,0.637
2024_12_10,Agra,0.661
2024_12_15,Agra,0.611
2024_12_20,Agra,0.733
2024_12_25,Agra,0.712
2024_12_30,Agra,0.723
2025_01_04,Agra,0.634
2025_01_09,Agra,0.624
2025_01_14,Agra,0.553
2025_01_19,Agra,0.581
2025_01_24,Agra,0.484
2025_01_29,Agra,0.403
2025_02_03,Agra,0.351
2025_02_08,Agra,0.426
2025_02_13,Agra,0.337
2025_02_18,Agra,0.419
2025_02_23,Agra,0.434
2025_02_28,Agra,0.511
2025_03_05,Agra,0.555
2025_03_10,Agra,0.633
2025_03_15,Agra,0.66
2025_03_20,Agra,0.702
2025_03_25,Agra,0.736
2025_03_30,Agra,0.689
2025_04_04,Agra,0.666
2025_04_09,Agra,0.648
2025_04_14,Agra,0.567
2025_04_19,Agra,0.511
2025_04_24,Agra,0.479
2025_04_29,Agra,0.404
2025_05_04,Agra,0.273
2025_05_09,Agra,0.358
2025_05_14,Agra,0.345
2025_05_19,Agra,0.434
2025_05_24,Agra,0.455
2025_05_29,Agra,0.467
2025_06_03,Agra,0.553
2025_06_08,Agra,0.61
2025_06_13,Agra,0.594
2025_06_18,Agra,0.692
2025_06_23,Agra,0.709
2025_06_28,Agra,0.679
2025_07_03,Agra,0.667
2025_07_08,Agra,0.709
2025_07_13,Agra,0.623
2025_07_18,Agra,0.522
2025_07_23,Agra,0.423
2025_07_28,Agra,0.388
2025_08_02,Agra,0.352
2025_08_07,Agra,0.375
2025_08_12,Agra,0.396
2025_08_17,Agra,0.389
2025_08_22,Agra,0.362
2025_08_27,Agra,0.501
2025_09_01,Agra,0.479
2025_09_06,Agra,0.644
2025_09_11,Agra,0.695
2025_09_16,Agra,0.66
2025_09_21,Agra,0.638
2025_09_26,Agra,0.737
2025_10_01,Agra,0.708
2025_10_06,Agra,0.638
2025_10_11,Agra,0.593
2025_10_16,Agra,0.592
2025_10_21,Agra,0.487
2025_10_26,Agra,0.478
2025_10_31,Agra,0.375
2025_11_05,Agra,0.373
2025_11_10,Agra,0.331
2025_11_15,Agra,0.419
2025_11_20,Agra,0.512
2025_11_25,Agra,0.44
2025_11_30,Agra,0.467
2025_12_05,Agra,0.567
2025_12_10,Agra,0.645
2025_12_15,Agra,0.619
2025_12_20,Agra,0.686
2025_12_25,Agra,0.617
2025_12_30,Agra,0.736
2019_01_01,Kolar,0.721
2019_01_06,Kolar,0.572
2019_01_11,Kolar,0.641
2019_01_16,Kolar,0.509
2019_01_21,Kolar,0.528
2019_01_26,Kolar,0.441
2019_01_31,Kolar,0.335
2019_02_05,Kolar,0.327
2019_02_10,Kolar,0.413
2019_02_15,Kolar,0.396
2019_02_20,Kolar,0.362
2019_02_25,Kolar,0.447
2019_03_02,Kolar,0.49
2019_03_07,Kolar,0.531
2019_03_12,Kolar,0.609
2019_03_17,Kolar,0.703
2019_03_22,Kolar,0.612
2019_03_27,Kolar,0.711
2019_04_01,Kolar,0.689
2019_04_06,Kolar,0.683
2019_04_11,Kolar,0.586
2019_04_16,Kolar,0.554
2019_04_21,Kolar,0.462
2019_04_26,Kolar,0.456
2019_05_01,Kolar,0.381
2019_05_06,Kolar,0.427
2019_05_11,Kolar,0.346
2019_05_16,Kolar,0.335
2019_05_21,Kolar,0.272
2019_05_26,Kolar,0.448
2019_05_31,Kolar,0.428
2019_06_05,Kolar,0.583
2019_06_10,Kolar,0.613
2019_06_15,Kolar,0.613
2019_06_20,Kolar,0.685
2019_06_25,Kolar,0.65
2019_06_30,Kolar,0.66
2019_07_05,Kolar,0.679
2019_07_10,Kolar,0.59
2019_07_15,Kolar,0.548
2019_07_20,Kolar,0.489
2019_07_25,Kolar,0.409
2019_07_30,Kolar,0.37
2019_08_04,Kolar,0.354
2019_08_09,Kolar,0.352
2019_08_14,Kolar,0.433
2019_08_19,Kolar,0.35
2019_08_24,Kolar,0.405
2019_08_29,Kolar,0.46
2019_09_03,Kolar,0.561
2019_09_08,Kolar,0.571
2019_09_13,Kolar,0.649
2019_09_18,Kolar,0.745
2019_09_23,Kolar,0.736
2019_09_28,Kolar,0.737
2019_10_03,Kolar,0.661
2019_10_08,Kolar,0.635
2019_10_13,Kolar,0.621
2019_10_18,Kolar,0.593
2019_10_23,Kolar,0.543
2019_10_28,Kolar,0.408
2019_11_02,Kolar,0.296
2019_11_07,Kolar,0.387
2019_11_12,Kolar,0.379
2019_11_17,Kolar,0.404
2019_11_22,Kolar,0.428
2019_11_27,Kolar,0.564
2019_12_02,Kolar,0.567
2019_12_07,Kolar,0.641
2019_12_12,Kolar,0.611
2019_12_17,Kolar,0.654
2019_12_22,Kolar,0.665
2019_12_27,Kolar,0.646
2020_01_01,Kolar,0.652
2020_01_06,Kolar,0.66
2020_01_11,Kolar,0.544
2020_01_16,Kolar,0.473
2020_01_21,Kolar,0.503
2020_01_26,Kolar,0.438
2020_01_31,Kolar,0.413
2020_02_05,Kolar,0.367
2020_02_10,Kolar,0.405
2020_02_15,Kolar,0.339
2020_02_20,Kolar,0.458
2020_02_25,Kolar,0.463
2020_03_01,Kolar,0.459
2020_03_06,Kolar,0.617
2020_03_11,Kolar,0.635
2020_03_16,Kolar,0.665
2020_03_21,Kolar,0.744
2020_03_26,Kolar,0.742
2020_03_31,Kolar,0.701
2020_04_05,Kolar,0.598
2020_04_10,Kolar,0.646
2020_04_15,Kolar,0.521
2020_04_20,Kolar,0.528
2020_04_25,Kolar,0.466
2020_04_30,Kolar,0.401
2020_05_05,Kolar,0.369
2020_05_10,Kolar,0.375
2020_05_15,Kolar,0.424
2020_05_20,Kolar,0.453
2020_05_25,Kolar,0.409
2020_05_30,Kolar,0.505
2020_06_04,Kolar,0.57
2020_06_09,Kolar,0.56
2020_06_14,Kolar,0.667
2020_06_19,Kolar,0.675
2020_06_24,Kolar,0.672
2020_06_29,Kolar,0.671
2020_07_04,Kolar,0.584
2020_07_09,Kolar,0.604
2020_07_14,Kolar,0.494
2020_07_19,Kolar,0.492
2020_07_24,Kolar,0.366
2020_07_29,Kolar,0.43
2020_08_03,Kolar,0.383
2020_08_08,Kolar,0.403
2020_08_13,Kolar,0.328
2020_08_18,Kolar,0.383
2020_08_23,Kolar,0.399
2020_08_28,Kolar,0.46
2020_09_02,Kolar,0.548
2020_09_07,Kolar,0.611
2020_09_12,Kolar,0.647
2020_09_17,Kolar,0.644
2020_09_22,Kolar,0.744
2020_09_27,Kolar,0.719
2020_10_02,Kolar,0.71
2020_10_07,Kolar,0.664
2020_10_12,Kolar,0.601
2020_10_17,Kolar,0.549
2020_10_22,Kolar,0.454
2020_10_27,Kolar,0.386
2020_11_01,Kolar,0.338
2020_11_06,Kolar,0.413
2020_11_11,Kolar,0.315
2020_11_16,Kolar,0.366
2020_11_21,Kolar,0.4
2020_11_26,Kolar,0.384
2020_12_01,Kolar,0.48
2020_12_06,Kolar,0.574
2020_12_11,Kolar,0.605
2020_12_16,Kolar,0.673
2020_12_21,Kolar,0.651
2020_12_26,Kolar,0.658
2020_12_31,Kolar,0.634
2021_01_05,Kolar,0.588
2021_01_10,Kolar,0.603
2021_01_15,Kolar,0.576
2021_01_20,Kolar,0.475
2021_01_25,Kolar,0.439
2021_01_30,Kolar,0.331
2021_02_04,Kolar,0.348
2021_02_09,Kolar,0.416
2021_02_14,Kolar,0.367
2021_02_19,Kolar,0.43
2021_02_24,Kolar,0.42
2021_03_01,Kolar,0.46
2021_03_06,Kolar,0.534
2021_03_11,Kolar,0.641
2021_03_16,Kolar,0.631
2021_03_21,Kolar,0.725
2021_03_26,Kolar,0.668
2021_03_31,Kolar,0.76
2021_04_05,Kolar,0.704
2021_04_10,Kolar,0.662
2021_04_15,Kolar,0.543
2021_04_20,Kolar,0.537
2021_04_25,Kolar,0.437
2021_04_30,Kolar,0.409
2021_05_05,Kolar,0.381
2021_05_10,Kolar,0.342
2021_05_15,Kolar,0.379
2021_05_20,Kolar,0.37
2021_05_25,Kolar,0.338
2021_05_30,Kolar,0.491
2021_06_04,Kolar,0.517
2021_06_09,Kolar,0.592
2021_06_14,Kolar,0.615
2021_06_19,Kolar,0.668
2021_06_24,Kolar,0.691
2021_06_29,Kolar,0.664
2021_07_04,Kolar,0.693
2021_07_09,Kolar,0.63
2021_07_14,Kolar,0.593
2021_07_19,Kolar,0.591
2021_07_24,Kolar,0.535
2021_07_29,Kolar,0.436
2021_08_03,Kolar,0.391
2021_08_08,Kolar,0.422
2021_08_13,Kolar,0.377
2021_08_18,Kolar,0.4
2021_08_23,Kolar,0.371
2021_08_28,Kolar,0.469
2021_09_02,Kolar,0.525
2021_09_07,Kolar,0.54
2021_09_12,Kolar,0.708
2021_09_17,Kolar,0.659
2021_09_22,Kolar,0.648
2021_09_27,Kolar,0.788
2021_10_02,Kolar,0.657
2021_10_07,Kolar,0.608
2021_10_12,Kolar,0.599
2021_10_17,Kolar,0.545
2021_10_22,Kolar,0.466
2021_10_27,Kolar,0.449
2021_11_01,Kolar,0.342
2021_11_06,Kolar,0.32
2021_11_11,Kolar,0.437
2021_11_16,Kolar,0.379
2021_11_21,Kolar,0.375
2021_11_26,Kolar,0.465
2021_12_01,Kolar,0.477
2021_12_06,Kolar,0.514
2021_12_11,Kolar,0.608
2021_12_16,Kolar,0.622
2021_12_21,Kolar,0.695
2021_12_26,Kolar,0.707
2021_12_31,Kolar,0.661
2022_01_05,Kolar,0.662
2022_01_10,Kolar,0.616
2022_01_15,Kolar,0.527
2022_01_20,Kolar,0.445
2022_01_25,Kolar,0.394
2022_01_30,Kolar,0.438
2022_02_04,Kolar,0.306
2022_02_09,Kolar,0.352
2022_02_14,Kolar,0.364
2022_02_19,Kolar,0.385
2022_02_24,Kolar,0.451
2022_03_01,Kolar,0.472
2022_03_06,Kolar,0.532
2022_03_11,Kolar,0.554
2022_03_16,Kolar,0.661
2022_03_21,Kolar,0.698
2022_03_26,Kolar,0.691
2022_03_31,Kolar,0.746
2022_04_05,Kolar,0.627
2022_04_10,Kolar,0.613
2022_04_15,Kolar,0.581
2022_04_20,Kolar,0.588
2022_04_25,Kolar,0.433
2022_04_30,Kolar,0.416
2022_05_05,Kolar,0.316
2022_05_10,Kolar,0.308
2022_05_15,Kolar,0.424
2022_05_20,Kolar,0.402
2022_05_25,Kolar,0.406
2022_05_30,Kolar,0.519
2022_06_04,Kolar,0.559
2022_06_09,Kolar,0.587
2022_06_14,Kolar,0.606
2022_06_19,Kolar,0.644
2022_06_24,Kolar,0.708
2022_06_29,Kolar,0.744
2022_07_04,Kolar,0.734
2022_07_09,Kolar,0.578
2022_07_14,Kolar,0.569
2022_07_19,Kolar,0.562
2022_07_24,Kolar,0.408
2022_07_29,Kolar,0.428
2022_08_03,Kolar,0.371
2022_08_08,Kolar,0.355
2022_08_13,Kolar,0.438
2022_08_18,Kolar,0.376
2022_08_23,Kolar,0.404
2022_08_28,Kolar,0.54
2022_09_02,Kolar,0.562
2022_09_07,Kolar,0.603
2022_09_12,Kolar,0.538
2022_09_17,Kolar,0.71
2022_09_22,Kolar,0.677
2022_09_27,Kolar,0.726
2022_10_02,Kolar,0.661
2022_10_07,Kolar,0.593
2022_10_12,Kolar,0.605
2022_10_17,Kolar,0.552
2022_10_22,Kolar,0.446
2022_10_27,Kolar,0.442
2022_11_01,Kolar,0.399
2022_11_06,Kolar,0.295
2022_11_11,Kolar,0.332
2022_11_16,Kolar,0.331
2022_11_21,Kolar,0.383
2022_11_26,Kolar,0.436
2022_12_01,Kolar,0.471
2022_12_06,Kolar,0.641
2022_12_11,Kolar,0.635
2022_12_16,Kolar,0.63
2022_12_21,Kolar,0.675
2022_12_26,Kolar,0.697
2022_12_31,Kolar,0.659
2023_01_05,Kolar,0.551
2023_01_10,Kolar,0.572
2023_01_15,Kolar,0.606
2023_01_20,Kolar,0.601
2023_01_25,Kolar,0.467
2023_01_30,Kolar,0.408
2023_02_04,Kolar,0.345
2023_02_09,Kolar,0.379
2023_02_14,Kolar,0.375
2023_02_19,Kolar,0.394
2023_02_24,Kolar,0.517
2023_03_01,Kolar,0.525
2023_03_06,Kolar,0.543
2023_03_11,Kolar,0.615
2023_03_16,Kolar,0.684
2023_03_21,Kolar,0.641
2023_03_26,Kolar,0.686
2023_03_31,Kolar,0.652
2023_04_05,Kolar,0.575
2023_04_10,Kolar,0.613
2023_04_15,Kolar,0.606
2023_04_20,Kolar,0.52
2023_04_25,Kolar,0.516
2023_04_30,Kolar,0.484
2023_05_05,Kolar,0.389
2023_05_10,Kolar,0.35
2023_05_15,Kolar,0.402
2023_05_20,Kolar,0.37
2023_05_25,Kolar,0.405
2023_05_30,Kolar,0.418
2023_06_04,Kolar,0.573
2023_06_09,Kolar,0.612
2023_06_14,Kolar,0.672
2023_06_19,Kolar,0.692
2023_06_24,Kolar,0.709
2023_06_29,Kolar,0.638
2023_07_04,Kolar,0.72
2023_07_09,Kolar,0.633
2023_07_14,Kolar,0.59
2023_07_19,Kolar,0.482
2023_07_24,Kolar,0.426
2023_07_29,Kolar,0.429
2023_08_03,Kolar,0.396
2023_08_08,Kolar,0.408
2023_08_13,Kolar,0.332
2023_08_18,Kolar,0.323
2023_08_23,Kolar,0.508
2023_08_28,Kolar,0.522
2023_09_02,Kolar,0.526
2023_09_07,Kolar,0.588
2023_09_12,Kolar,0.606
2023_09_17,Kolar,0.616
2023_09_22,Kolar,0.75
2023_09_27,Kolar,0.751
2023_10_02,Kolar,0.636
2023_10_07,Kolar,0.646
2023_10_12,Kolar,0.587
2023_10_17,Kolar,0.459
2023_10_22,Kolar,0.467
2023_10_27,Kolar,0.45
2023_11_01,Kolar,0.336
2023_11_06,Kolar,0.323
2023_11_11,Kolar,0.337
2023_11_16,Kolar,0.382
2023_11_21,Kolar,0.402
2023_11_26,Kolar,0.487
2023_12_01,Kolar,0.486
2023_12_06,Kolar,0.608
2023_12_11,Kolar,0.593
2023_12_16,Kolar,0.651
2023_12_21,Kolar,0.651
2023_12_26,Kolar,0.716
2023_12_31,Kolar,0.665
2024_01_05,Kolar,0.663
2024_01_10,Kolar,0.587
2024_01_15,Kolar,0.564
2024_01_20,Kolar,0.451
2024_01_25,Kolar,0.423
2024_01_30,Kolar,0.419
2024_02_04,Kolar,0.359
2024_02_09,Kolar,0.396
2024_02_14,Kolar,0.331
2024_02_19,Kolar,0.376
2024_02_24,Kolar,0.403
2024_02_29,Kolar,0.456
2024_03_05,Kolar,0.528
2024_03_10,Kolar,0.645
2024_03_15,Kolar,0.628
2024_03_20,Kolar,0.751
2024_03_25,Kolar,0.714
2024_03_30,Kolar,0.612
2024_04_04,Kolar,0.64
2024_04_09,Kolar,0.645
2024_04_14,Kolar,0.605
2024_04_19,Kolar,0.56
2024_04_24,Kolar,0.447
2024_04_29,Kolar,0.385
2024_05_04,Kolar,0.439
2024_05_09,Kolar,0.361
2024_05_14,Kolar,0.375
2024_05_19,Kolar,0.462
2024_05_24,Kolar,0.449
2024_05_29,Kolar,0.414
2024_06_03,Kolar,0.492
2024_06_08,Kolar,0.609
2024_06_13,Kolar,0.575
2024_06_18,Kolar,0.744
2024_06_23,Kolar,0.703
2024_06_28,Kolar,0.758
2024_07_03,Kolar,0.693
2024_07_08,Kolar,0.633
2024_07_13,Kolar,0.535
2024_07_18,Kolar,0.459
2024_07_23,Kolar,0.435
2024_07_28,Kolar,0.429
2024_08_02,Kolar,0.387
2024_08_07,Kolar,0.421
2024_08_12,Kolar,0.315
2024_08_17,Kolar,0.384
2024_08_22,Kolar,0.359
2024_08_27,Kolar,0.52
2024_09_01,Kolar,0.455
2024_09_06,Kolar,0.578
2024_09_11,Kolar,0.624
2024_09_16,Kolar,0.692
2024_09_21,Kolar,0.697
2024_09_26,Kolar,0.699
2024_10_01,Kolar,0.697
2024_10_06,Kolar,0.622
2024_10_11,Kolar,0.558
2024_10_16,Kolar,0.487
2024_10_21,Kolar,0.451
2024_10_26,Kolar,0.452
2024_10_31,Kolar,0.378
2024_11_05,Kolar,0.327
2024_11_10,Kolar,0.38
2024_11_15,Kolar,0.371
2024_11_20,Kolar,0.382
2024_11_25,Kolar,0.437
2024_11_30,Kolar,0.492
2024_12_05,Kolar,0.568
2024_12_10,Kolar,0.598
2024_12_15,Kolar,0.66
2024_12_20,Kolar,0.684
2024_12_25,Kolar,0.684
2024_12_30,Kolar,0.686
2025_01_04,Kolar,0.613
2025_01_09,Kolar,0.621
2025_01_14,Kolar,0.505
2025_01_19,Kolar,0.529
2025_01_24,Kolar,0.468
2025_01_29,Kolar,0.437
2025_02_03,Kolar,0.445
2025_02_08,Kolar,0.386
2025_02_13,Kolar,0.388
2025_02_18,Kolar,0.304
2025_02_23,Kolar,0.485
2025_02_28,Kolar,0.508
2025_03_05,Kolar,0.572
2025_03_10,Kolar,0.644
2025_03_15,Kolar,0.618
2025_03_20,Kolar,0.734
2025_03_25,Kolar,0.67
2025_03_30,Kolar,0.723
2025_04_04,Kolar,0.668
2025_04_09,Kolar,0.63
2025_04_14,Kolar,0.591
2025_04_19,Kolar,0.546
2025_04_24,Kolar,0.451
2025_04_29,Kolar,0.43
2025_05_04,Kolar,0.378
2025_05_09,Kolar,0.393
2025_05_14,Kolar,0.357
2025_05_19,Kolar,0.431
2025_05_24,Kolar,0.413
2025_05_29,Kolar,0.449
2025_06_03,Kolar,0.585
2025_06_08,Kolar,0.617
2025_06_13,Kolar,0.642
2025_06_18,Kolar,0.685
2025_06_23,Kolar,0.717
2025_06_28,Kolar,0.729
2025_07_03,Kolar,0.752
2025_07_08,Kolar,0.657
2025_07_13,Kolar,0.553
2025_07_18,Kolar,0.522
2025_07_23,Kolar,0.508
2025_07_28,Kolar,0.413
2025_08_02,Kolar,0.351
2025_08_07,Kolar,0.391
2025_08_12,Kolar,0.301
2025_08_17,Kolar,0.369
2025_08_22,Kolar,0.358
2025_08_27,Kolar,0.39
2025_09_01,Kolar,0.58
2025_09_06,Kolar,0.541
2025_09_11,Kolar,0.641
2025_09_16,Kolar,0.749
2025_09_21,Kolar,0.66
2025_09_26,Kolar,0.647
2025_10_01,Kolar,0.722
2025_10_06,Kolar,0.576
2025_10_11,Kolar,0.692
2025_10_16,Kolar,0.563
2025_10_21,Kolar,0.477
2025_10_26,Kolar,0.363
2025_10_31,Kolar,0.384
2025_11_05,Kolar,0.371
2025_11_10,Kolar,0.317
2025_11_15,Kolar,0.356
2025_11_20,Kolar,0.407
2025_11_25,Kolar,0.4
2025_11_30,Kolar,0.465
2025_12_05,Kolar,0.667
2025_12_10,Kolar,0.613
2025_12_15,Kolar,0.676
2025_12_20,Kolar,0.625
2025_12_25,Kolar,0.704
2025_12_30,Kolar,0.761
2019_01_01,Pune,0.685
2019_01_06,Pune,0.674
2019_01_11,Pune,0.616
2019_01_16,Pune,0.544
2019_01_21,Pune,0.346
2019_01_26,Pune,0.422
2019_01_31,Pune,0.364
2019_02_05,Pune,0.374
2019_02_10,Pune,0.399
2019_02_15,Pune,0.414
2019_02_20,Pune,0.441
2019_02_25,Pune,0.41
2019_03_02,Pune,0.564
2019_03_07,Pune,0.603
2019_03_12,Pune,0.711
2019_03_17,Pune,0.703
2019_03_22,Pune,0.663
2019_03_27,Pune,0.698
2019_04_01,Pune,0.724
2019_04_06,Pune,0.595
2019_04_11,Pune,0.554
2019_04_16,Pune,0.472
2019_04_21,Pune,0.499
2019_04_26,Pune,0.436
2019_05_01,Pune,0.433
2019_05_06,Pune,0.407
2019_05_11,Pune,0.32
2019_05_16,Pune,0.376
2019_05_21,Pune,0.401
2019_05_26,Pune,0.399
2019_05_31,Pune,0.432
2019_06_05,Pune,0.519
2019_06_10,Pune,0.61
2019_06_15,Pune,0.648
2019_06_20,Pune,0.75
2019_06_25,Pune,0.708
2019_06_30,Pune,0.71
2019_07_05,Pune,0.632
2019_07_10,Pune,0.646
2019_07_15,Pune,0.516
2019_07_20,Pune,0.525
2019_07_25,Pune,0.41
2019_07_30,Pune,0.418
2019_08_04,Pune,0.347
2019_08_09,Pune,0.37
2019_08_14,Pune,0.367
2019_08_19,Pune,0.327
2019_08_24,Pune,0.514
2019_08_29,Pune,0.473
2019_09_03,Pune,0.584
2019_09_08,Pune,0.596
2019_09_13,Pune,0.65
2019_09_18,Pune,0.732
2019_09_23,Pune,0.711
2019_09_28,Pune,0.825
2019_10_03,Pune,0.666
2019_10_08,Pune,0.636
2019_10_13,Pune,0.559
2019_10_18,Pune,0.502
2019_10_23,Pune,0.45
2019_10_28,Pune,0.391
2019_11_02,Pune,0.425
2019_11_07,Pune,0.35
2019_11_12,Pune,0.294
2019_11_17,Pune,0.332
2019_11_22,Pune,0.463
2019_11_27,Pune,0.452
2019_12_02,Pune,0.542
2019_12_07,Pune,0.564
2019_12_12,Pune,0.602
2019_12_17,Pune,0.615
2019_12_22,Pune,0.76
2019_12_27,Pune,0.655
2020_01_01,Pune,0.668
2020_01_06,Pune,0.623
2020_01_11,Pune,0.68
2020_01_16,Pune,0.498
2020_01_21,Pune,0.54
2020_01_26,Pune,0.449
2020_01_31,Pune,0.429
2020_02_05,Pune,0.38
2020_02_10,Pune,0.359
2020_02_15,Pune,0.401
2020_02_20,Pune,0.429
2020_02_25,Pune,0.491
2020_03_01,Pune,0.465
2020_03_06,Pune,0.573
2020_03_11,Pune,0.681
2020_03_16,Pune,0.609
2020_03_21,Pune,0.698
2020_03_26,Pune,0.695
2020_03_31,Pune,0.706
2020_04_05,Pune,0.714
2020_04_10,Pune,0.581
2020_04_15,Pune,0.57
2020_04_20,Pune,0.462
2020_04_25,Pune,0.379
2020_04_30,Pune,0.36
2020_05_05,Pune,0.282
2020_05_10,Pune,0.366
2020_05_15,Pune,0.36
2020_05_20,Pune,0.269
2020_05_25,Pune,0.457
2020_05_30,Pune,0.458
2020_06_04,Pune,0.577
2020_06_09,Pune,0.567
2020_06_14,Pune,0.657
2020_06_19,Pune,0.674
2020_06_24,Pune,0.735
2020_06_29,Pune,0.657
2020_07_04,Pune,0.642
2020_07_09,Pune,0.602
2020_07_14,Pune,0.631
2020_07_19,Pune,0.481
2020_07_24,Pune,0.466
2020_07_29,Pune,0.459
2020_08_03,Pune,0.311
2020_08_08,Pune,0.357
2020_08_13,Pune,0.307
2020_08_18,Pune,0.367
2020_08_23,Pune,0.401
2020_08_28,Pune,0.452
2020_09_02,Pune,0.544
2020_09_07,Pune,0.605
2020_09_12,Pune,0.63
2020_09_17,Pune,0.7
2020_09_22,Pune,0.752
2020_09_27,Pune,0.751
2020_10_02,Pune,0.607
2020_10_07,Pune,0.65
2020_10_12,Pune,0.525
2020_10_17,Pune,0.501
2020_10_22,Pune,0.438
2020_10_27,Pune,0.396
2020_11_01,Pune,0.421
2020_11_06,Pune,0.379
2020_11_11,Pune,0.337
2020_11_16,Pune,0.357
2020_11_21,Pune,0.435
2020_11_26,Pune,0.457
2020_12_01,Pune,0.456
2020_12_06,Pune,0.472
2020_12_11,Pune,0.593
2020_12_16,Pune,0.68
2020_12_21,Pune,0.675
2020_12_26,Pune,0.714
2020_12_31,Pune,0.66
2021_01_05,Pune,0.667
2021_01_10,Pune,0.561
2021_01_15,Pune,0.535
2021_01_20,Pune,0.51
2021_01_25,Pune,0.403
2021_01_30,Pune,0.424
2021_02_04,Pune,0.381
2021_02_09,Pune,0.358
2021_02_14,Pune,0.397
2021_02_19,Pune,0.368
2021_02_24,Pune,0.451
2021_03_01,Pune,0.462
2021_03_06,Pune,0.521
2021_03_11,Pune,0.566
2021_03_16,Pune,0.701
2021_03_21,Pune,0.648
2021_03_26,Pune,0.661
2021_03_31,Pune,0.711
2021_04_05,Pune,0.646
2021_04_10,Pune,0.655
2021_04_15,Pune,0.53
2021_04_20,Pune,0.484
2021_04_25,Pune,0.452
2021_04_30,Pune,0.347
2021_05_05,Pune,0.317
2021_05_10,Pune,0.279
2021_05_15,Pune,0.419
2021_05_20,Pune,0.343
2021_05_25,Pune,0.413
2021_05_30,Pune,0.456
2021_06_04,Pune,0.535
2021_06_09,Pune,0.618
2021_06_14,Pune,0.645
2021_06_19,Pune,0.637
2021_06_24,Pune,0.681
2021_06_29,Pune,0.737
2021_07_04,Pune,0.707
2021_07_09,Pune,0.637
2021_07_14,Pune,0.659
2021_07_19,Pune,0.549
2021_07_24,Pune,0.476
2021_07_29,Pune,0.458
2021_08_03,Pune,0.35
2021_08_08,Pune,0.427
2021_08_13,Pune,0.343
2021_08_18,Pune,0.412
2021_08_23,Pune,0.362
2021_08_28,Pune,0.488
2021_09_02,Pune,0.524
2021_09_07,Pune,0.619
2021_09_12,Pune,0.624
2021_09_17,Pune,0.667
2021_09_22,Pune,0.77
2021_09_27,Pune,0.602
2021_10_02,Pune,0.748
2021_10_07,Pune,0.718
2021_10_12,Pune,0.603
2021_10_17,Pune,0.577
2021_10_22,Pune,0.381
2021_10_27,Pune,0.332
2021_11_01,Pune,0.344
2021_11_06,Pune,0.408
2021_11_11,Pune,0.269
2021_11_16,Pune,0.371
2021_11_21,Pune,0.394
2021_11_26,Pune,0.457
2021_12_01,Pune,0.435
2021_12_06,Pune,0.596
2021_12_11,Pune,0.665
2021_12_16,Pune,0.774
2021_12_21,Pune,0.6
2021_12_26,Pune,0.629
2021_12_31,Pune,0.604
2022_01_05,Pune,0.6
2022_01_10,Pune,0.607
2022_01_15,Pune,0.568
2022_01_20,Pune,0.406
2022_01_25,Pune,0.387
2022_01_30,Pune,0.392
2022_02_04,Pune,0.345
2022_02_09,Pune,0.329
2022_02_14,Pune,0.371
2022_02_19,Pune,0.338
2022_02_24,Pune,0.434
2022_03_01,Pune,0.511
2022_03_06,Pune,0.523
2022_03_11,Pune,0.569
2022_03_16,Pune,0.62
2022_03_21,Pune,0.707
2022_03_26,Pune,0.7
2022_03_31,Pune,0.675
2022_04_05,Pune,0.627
2022_04_10,Pune,0.659
2022_04_15,Pune,0.521
2022_04_20,Pune,0.541
2022_04_25,Pune,0.48
2022_04_30,Pune,0.41
2022_05_05,Pune,0.387
2022_05_10,Pune,0.357
2022_05_15,Pune,0.341
2022_05_20,Pune,0.37
2022_05_25,Pune,0.45
2022_05_30,Pune,0.419
2022_06_04,Pune,0.556
2022_06_09,Pune,0.625
2022_06_14,Pune,0.659
2022_06_19,Pune,0.723
2022_06_24,Pune,0.698
2022_06_29,Pune,0.736
2022_07_04,Pune,0.707
2022_07_09,Pune,0.584
2022_07_14,Pune,0.523
